ACT_FORCEPOSTURE,291
ACT_HARMTHREATEN,66
ACT_MAKESTATEMENT,3004
ACT_YIELD,69
AFFECT,23845
AGRICULTURE,9702
AID_ECONOMIC,15
AID_HUMANITARIAN,570
ALLIANCE,6152
APPOINTMENT,5225
ARMEDCONFLICT,25404
ARREST,15471
ASSASSINATION,253
AUSTERITY,302
AVIATION_INCIDENT,447
BAN,7649
BLACK_MARKET,284
BLOCKADE,1043
BORDER,4553
BULLYING,872
CEASEFIRE,1117
CHARASMATIC_LEADERSHIP,67
CHECKPOINT,538
CLAIM_CREDIT,859
CLOSURE,1277
CONFISCATION,444
CONSTITUTIONAL,4138
CORRUPTION,6799
CRIME_CARTELS,587
CRIME_COMMON,2133
CRIME_ILLEGAL,2983
CRIME_LOOTING,370
CRIME_STEAL,41
CRISISLEX_C01,433
CRISISLEX_C02,388
CRISISLEX_C03,22811
CRISISLEX_C04,9642
CRISISLEX_C05,2095
CRISISLEX_C06,4275
CRISISLEX_C07,45405
CRISISLEX_C08,395
CRISISLEX_CRISISLEXREC,67553
CRISISLEX_O01,5938
CRISISLEX_O02,3601
CRISISLEX_T01,12481
CRISISLEX_T02,19022
CRISISLEX_T03,28578
CRISISLEX_T04,3824
CRISISLEX_T05,40
CRISISLEX_T06,887
CRISISLEX_T07,377
CRISISLEX_T08,6289
CRISISLEX_T09,2662
CRISISLEX_T11,24635
CRM_ARSON,375
CRM_BOMBTHREAT,42
CURFEW,179
CYBER_ATTACK,1787
DEATH_PENALTY,1112
DEFECTION,221
DELAY,9065
DEMOCRACY,7308
DISABILITY,2916
DISASTER_FIRE,3118
DISCRIMINATION,4669
DISCRIMINATION_IMMIGRATION,1483
DISCRIMINATION_LGBT,509
DISCRIMINATION_RACE,3576
DISCRIMINATION_RELIGION,227
DISPLACED,962
DRONES,1487
DRUG_TRADE,3561
ECON_BANKRUPTCY,785
ECON_BITCOIN,213
ECON_BOYCOTT,1018
ECON_BUBBLE,124
ECON_BUDGET,1020
ECON_CENTRALBANK,2340
ECON_COST,307
ECON_COUNTERFEITMONEY,15
ECON_CURRENCY,2286
ECON_CUTOUTLOOK,12
ECON_DEBT,4729
ECON_DEFLATION,449
ECON_DEREGULATION,143
ECON_DEVELOPMENTORGS,8687
ECON_DIESELPRICE,181
ECON_EARNINGSREPORT,76
ECON_ELECTRICALDEMAND,108
ECON_ELECTRICALGENERATION,856
ECON_ELECTRICALGRID,187
ECON_ELECTRICALLOADSHEDDING,16
ECON_ELECTRICALPRICE,236
ECON_EMERGINGECON,1007
ECON_ENTREPRENEURSHIP,3824
ECON_FOREIGNBANKS,134
ECON_FOREIGNINVEST,379
ECON_FREETRADE,541
ECON_GASOLINEPRICE,580
ECON_GOLDPRICE,266
ECON_HEATINGOIL,441
ECON_HOUSING,4704
